Neighborhood,Latitude,Longitude
Cantonment,12.9766,77.5993
British Raj,12.96618,77.5869
Richmond Town,12.96233,77.60123
Austin Town,12.96348,77.61297
Murphy Town,12.98003,77.62776
Fraser Town,12.99894,77.61276
Cox Town,12.99594,77.62644
Domlur,12.94329,77.65602
HAL,12.96093,77.66419
Indiranagar,13.03006,77.49526
100 Feet Road,12.90858541,77.57026481
Rajajinagar,13.00544,77.55693
Malleswaram,13.00632006,77.56839983
Pete,12.96618,77.5869
Kempe Gowda I,12.97549877,77.52385771
Chickpet,12.97014,77.57589
K. R. Market,12.9642163,77.57681756
Avenue Road,12.96938841,77.57950706
Sadashivanagar,13.01483,77.57771
Anugraha,12.9612,77.51071
Seshadripuram,12.99355,77.57988
Shivajinagar,12.98718,77.60398
Russell Market,12.98507,77.60551
Bangalore Cantonment railway station,12.99343,77.59786
Ulsoor,12.98908,77.62795
Ulsoor Lake,12.98583,77.62151
M G Road,12.74231289,77.48822555
Vasanth Nagar,12.99105,77.58855
Bangalore Palace,12.99914,77.5922
Cunningham Road,12.98220766,77.59892057
Bellandur,12.92734,77.67169
Outer Ring Road,12.94932,77.69919
Bellandur Lake,12.94337,77.66421
CV Raman Nagar,12.98715,77.66388
Bagmane Tech Park,12.97993,77.65646
Hoodi,12.99201,77.71506
Krishnarajapuram,13.00039,77.68368
Mahadevapura,12.99409,77.66633
Phoenix Market City,12.99547,77.69585
Marathahalli,12.95466,77.70752
Old Airport Road,12.95796579,77.67018081
Varthur,12.94349,77.74701
Whitefield,12.97932,77.7337
ITPL,12.95031139,77.71308025
Banaswadi,13.01931402,77.65549242
HBR Layout,13.02641,77.62437
Horamavu,13.0387,77.66192
Kalyan Nagar,12.96802,77.52114
Kammanahalli,13.01426,77.63674
Lingarajapuram,13.00548,77.62597
Ramamurthy Nagar,13.02381,77.67785
Hebbal,13.04981,77.58903
Jalahalli,13.0545,77.52658
Mathikere,13.03234,77.55864
Peenya,13.03188,77.52654
R. T. Nagar,13.02445,77.59583
Vidyaranyapura,13.07929,77.55912
Yelahanka,13.09931,77.59259
Yeshwanthpur,13.02954,77.5402
Bommanahalli,12.90307,77.62445
Bommasandra,12.81751,77.67881
BTM Layout,12.91495,77.60999
Electronic City,12.84541,77.66434
Infosys,12.93358,77.61824
Wipro,12.91112,77.68378
flyover,12.96053448,77.55732027
HSR Layout,12.91222,77.6447
Hosur Road,12.95330558,77.58641919
Koramangala,12.92004,77.62546
Madiwala,12.92052,77.6209
Madiwala Lake,12.91106,77.61563
Banashankari,12.92231,77.56988
Basavanagudi,12.93898,77.57137
Girinagar,12.94279,77.54122
J. P. Nagar,12.90831,77.59024
Jayanagar,12.92868,77.5827
Kumaraswamy Layout,12.89819,77.55927
Padmanabhanagar,12.91818,77.55925
Uttarahalli,12.89757,77.5283
Anjanapura,12.85811,77.5591
Arekere,12.88567,77.59673
Begur,12.88246,77.62477
Gottigere,12.85566,77.58557
Hulimavu,12.88063,77.60147
Kothnur,13.06456,77.64782
Basaveshwaranagar,12.98674,77.54389
Basavanna,13.07079395,77.53941326
Kamakshipalya,12.98699,77.52484
Kengeri,12.90868,77.48718
railway station,12.99343,77.59786
Namma Metro,13.0380026,77.52224477
Bangalore Development Authority,12.92746,77.6349
Mahalakshmi Layout,13.01635,77.54481
Yeshwantpur,13.03912,77.57797
ISKCON Temple,12.92528,77.6352
Nagarbhavi,12.95624,77.50936
Bangalore University,12.99694,77.61843
National Law School of India University,12.95163,77.51572
Nandini Layout,13.01481,77.53891
Nayandahalli,12.94205,77.521
Mysore Road Satellite Bus Station,12.95381,77.54333
Mysore Road metro station,12.94634,77.53057
NICE Road,12.89315124,77.47938112
Rajajinagar,13.00544,77.55693
Rajarajeshwari Nagar,12.93178,77.52668
Global Village Tech Park,12.91972399,77.5035198
Vijayanagar,13.076,77.6524
Vijayanagara Empire,13.076,77.6524
Attibele,12.77971,77.77058
NH44,12.96715005,77.61124008
SH35,12.79748376,77.78036756
Anekal,12.70956,77.69804
SH35,12.79748376,77.78036756
Chandapura,12.79401,77.70015
NH44,12.96715005,77.61124008
Thavarekere,12.9224,77.61027
Chikkabanavara,13.07213502,77.51375008
SH39,13.13068505,77.48437511
Hesaraghatta,13.19046,77.47293
SH39,13.13068505,77.48437511
Jigani,12.78138,77.64217
SH87,12.97636004,77.60178005
Nelamangala,13.10048,77.39091
NH48,13.03517493,77.58890023
NH75,13.01447725,77.56971756
Sarjapura,12.86072,77.7836
NH648,12.85722097,77.79771666
SH35,12.79748376,77.78036756
